location,period,sex,life_expectancy
W06000022,2004-01-01T00:00:00/P3Y,Male,76.7
W06000022,2004-01-01T00:00:00/P3Y,Female,80.7
W06000022,2005-01-01T00:00:00/P3Y,Male,77.1
W06000022,2005-01-01T00:00:00/P3Y,Female,80.9
W06000022,2006-01-01T00:00:00/P3Y,Male,77.0
W06000022,2006-01-01T00:00:00/P3Y,Female,81.5
W06000015,2004-01-01T00:00:00/P3Y,Male,78.7
W06000015,2004-01-01T00:00:00/P3Y,Female,83.3
W06000015,2005-01-01T00:00:00/P3Y,Male,78.6
W06000015,2005-01-01T00:00:00/P3Y,Female,83.7
W06000015,2006-01-01T00:00:00/P3Y,Male,78.7
W06000015,2006-01-01T00:00:00/P3Y,Female,83.4
W06000021,2004-01-01T00:00:00/P3Y,Male,76.6
W06000021,2004-01-01T00:00:00/P3Y,Female,81.3
W06000021,2005-01-01T00:00:00/P3Y,Male,76.5
W06000021,2005-01-01T00:00:00/P3Y,Female,81.5
W06000021,2006-01-01T00:00:00/P3Y,Male,76.6
W06000021,2006-01-01T00:00:00/P3Y,Female,81.7
W06000024,2004-01-01T00:00:00/P3Y,Male,75.5
W06000024,2004-01-01T00:00:00/P3Y,Female,79.1
W06000024,2005-01-01T00:00:00/P3Y,Male,75.5
W06000024,2005-01-01T00:00:00/P3Y,Female,79.4
W06000024,2006-01-01T00:00:00/P3Y,Male,74.9
W06000024,2006-01-01T00:00:00/P3Y,Female,79.6
